codice_comune,pop_0_14,pop_15_64,pop_65_plus,pop_male,pop_female
002148,782,4005,1973,3354,3406
002150,377,1991,903,1610,1661
002152,142,1022,621,894,891
002156,672,3983,2177,3275,3557
002158,5248,28690,12453,22690,23701
002163,27,205,134,186,180
002164,175,880,463,766,752
002166,19,103,34,83,73
002170,4,71,58,70,63
002171,86,539,332,479,478
003001,155,1039,385,811,768
003002,84,490,292,415,451
003006,212,1282,595,995,1094
003008,1357,7978,4297,6323,7309
003012,61,440,233,365,369
003016,1153,5922,2269,4656,4688
003018,228,866,290,716,668
003019,104,724,317,569,576
003021,165,805,354,647,677
003022,102,693,315,572,538
003023,203,1248,574,989,1036
003024,2360,13409,5433,10190,11012
003025,671,3397,1077,2581,2564
003026,231,1734,765,1313,1417
003027,114,719,296,540,589
003030,244,1592,617,1230,1223
003032,1266,6868,2733,5323,5544
003036,271,1498,688,1163,1294
003037,151,654,242,548,499
003039,111,588,218,444,473
003040,198,983,405,810,776
003041,113,569,206,460,428
003042,54,211,66,165,166
003043,1123,6300,2411,4793,5041
003044,31,240,116,198,189
003045,117,653,373,559,584
003047,160,808,322,646,644
003049,994,4266,1735,3462,3533
003051,59,343,151,283,270
003052,131,814,319,661,603
003055,154,982,423,759,800
003058,303,1687,629,1271,1348
003060,164,917,347,720,708
003062,253,1571,732,1223,1333
003065,198,1264,547,1004,1005
003066,268,1694,694,1323,1333
003068,2036,10080,3768,7781,8103
003069,194,875,328,688,709
003070,170,1119,462,856,895
003073,363,2133,933,1722,1707
003076,527,3484,1453,2771,2693
003077,145,815,342,642,660
003079,394,2569,1336,2089,2210
003082,442,2788,1060,2125,2165
003083,21,299,198,249,269
003084,202,1338,663,1065,1138
003088,173,998,456,777,850
003090,17,121,75,109,104
003091,179,1037,407,789,834
003093,98,661,368,554,573
003095,205,1421,714,1095,1245
003097,146,810,264,616,604
003098,71,441,293,380,425
003100,254,1472,679,1169,1236
003103,173,1180,506,917,942
003104,89,544,200,417,416
003106,12151,64947,26140,50565,52673
003108,1728,9022,3520,7043,7227
003109,262,1371,592,1124,1101
003112,69,683,334,548,538
003114,240,1352,529,1027,1094
003115,58,555,261,415,459
003116,124,783,389,636,660
003119,82,511,201,379,415
003120,120,866,379,673,692
003121,214,1418,487,1073,1046
003122,172,1159,498,911,918
003129,133,655,241,552,477
003130,431,2270,1058,1829,1930
003131,806,3654,1198,2794,2864
003133,313,1874,744,1400,1531
003134,68,432,201,366,335
003135,228,1247,485,1010,950
003138,74,348,154,293,283
003139,141,765,414,651,669
003140,92,432,198,347,375
003141,137,671,297,540,565
003143,283,1655,724,1310,1352
003144,53,308,101,238,224
003146,101,525,250,430,446
003149,2997,13870,4438,10728,10577
003153,86,591,275,475,477
003154,561,3212,1250,2456,2567
003158,225,1295,560,1033,1047
003159,85,543,223,409,442
003164,59,364,141,302,262
003166,583,3389,1339,2580,2731
004001,19,100,52,84,87
004002,16,108,82,105,101
004003,3489,19266,8230,14843,16142
004004,15,122,68,99,106
004005,19,100,33,80,72
004006,6,43,27,38,38
004007,17,115,58,96,94
004008,103,554,272,458,471
004009,641,3525,1519,2812,2873
004010,106,657,280,531,512
004011,82,375,143,300,300
004012,906,4758,1846,3806,3704
